codigo_peca,montadora,modelo,geracao,ano_inicio,ano_fim,motor
IB-0001,Volkswagen,Gol,G4,2006,2008,1.0 8V EA111
IB-0001,Volkswagen,Gol,G4,2006,2008,1.6 8V EA111
IB-0001,Volkswagen,Gol,G5,2008,2012,1.0 8V EA111
IB-0001,Volkswagen,Gol,G5,2008,2012,1.6 8V EA111
IB-0001,Volkswagen,Gol,G5,2008,2012,1.6 16V EA111
IB-0001,Volkswagen,Gol,G6,2012,2016,1.0 12V MPI EA111
IB-0001,Volkswagen,Gol,G6,2012,2016,1.6 16V MSI EA111
IB-0001,Volkswagen,Gol,G7/G8,2016,2023,1.0 12V MPI EA211
IB-0001,Volkswagen,Gol,G7/G8,2016,2023,1.6 16V MSI EA211
IB-0002,Volkswagen,Gol,G4,2006,2008,1.0 8V EA111
IB-0002,Volkswagen,Gol,G4,2006,2008,1.6 8V EA111
IB-0002,Volkswagen,Gol,G5,2008,2012,1.0 8V EA111
IB-0002,Volkswagen,Gol,G5,2008,2012,1.6 8V EA111
IB-0002,Volkswagen,Gol,G5,2008,2012,1.6 16V EA111
IB-0002,Volkswagen,Gol,G6,2012,2016,1.0 12V MPI EA111
IB-0002,Volkswagen,Gol,G6,2012,2016,1.6 16V MSI EA111
IB-0002,Volkswagen,Gol,G7/G8,2016,2023,1.0 12V MPI EA211
IB-0002,Volkswagen,Gol,G7/G8,2016,2023,1.6 16V MSI EA211
AN-0001,Volkswagen,Gol,G4,2006,2008,1.0 8V EA111
AN-0001,Volkswagen,Gol,G4,2006,2008,1.6 8V EA111
AN-0001,Volkswagen,Gol,G5,2008,2012,1.0 8V EA111
AN-0001,Volkswagen,Gol,G5,2008,2012,1.6 8V EA111
AN-0001,Volkswagen,Gol,G5,2008,2012,1.6 16V EA111
AN-0001,Volkswagen,Gol,G6,2012,2016,1.0 12V MPI EA111
AN-0001,Volkswagen,Gol,G6,2012,2016,1.6 16V MSI EA111
AN-0001,Volkswagen,Gol,G7/G8,2016,2023,1.0 12V MPI EA211
AN-0001,Volkswagen,Gol,G7/G8,2016,2023,1.6 16V MSI EA211
VG-0001,Volkswagen,Gol,G4,2006,2008,1.0 8V EA111
VG-0001,Volkswagen,Gol,G4,2006,2008,1.6 8V EA111
VG-0001,Volkswagen,Gol,G5,2008,2012,1.0 8V EA111
VG-0001,Volkswagen,Gol,G5,2008,2012,1.6 8V EA111
VG-0001,Volkswagen,Gol,G5,2008,2012,1.6 16V EA111
VG-0001,Volkswagen,Gol,G6,2012,2016,1.0 12V MPI EA111
VG-0001,Volkswagen,Gol,G6,2012,2016,1.6 16V MSI EA111
VG-0001,Volkswagen,Gol,G7/G8,2016,2023,1.0 12V MPI EA211
VG-0001,Volkswagen,Gol,G7/G8,2016,2023,1.6 16V MSI EA211
AN-0002,Volkswagen,Fox,1ª geração,2003,2009,1.0 8V EA111
AN-0002,Volkswagen,Fox,1ª geração,2003,2009,1.6 8V EA111
AN-0002,Volkswagen,Fox,2ª geração,2009,2014,1.0 8V EA111
AN-0002,Volkswagen,Fox,2ª geração,2009,2014,1.6 16V EA111
AN-0002,Volkswagen,Fox,Facelift,2014,2017,1.0 12V MPI EA111
AN-0002,Volkswagen,Fox,Facelift,2014,2017,1.6 16V MSI EA111
AN-0002,Volkswagen,Fox,Final,2017,2021,1.0 12V MPI EA211
AN-0002,Volkswagen,Fox,Final,2017,2021,1.6 16V MSI EA211
VG-0002,Volkswagen,Fox,1ª geração,2003,2009,1.0 8V EA111
VG-0002,Volkswagen,Fox,1ª geração,2003,2009,1.6 8V EA111
VG-0002,Volkswagen,Fox,2ª geração,2009,2014,1.0 8V EA111
VG-0002,Volkswagen,Fox,2ª geração,2009,2014,1.6 16V EA111
VG-0002,Volkswagen,Fox,Facelift,2014,2017,1.0 12V MPI EA111
VG-0002,Volkswagen,Fox,Facelift,2014,2017,1.6 16V MSI EA111
VG-0002,Volkswagen,Fox,Final,2017,2021,1.0 12V MPI EA211
