codigo,nome,categoria,marca_peca,posicao,preco,disponivel,equivalencias
IB-0001,Pivô de suspensão,Suspensão,Ibirapuera,Dianteira direita,"411,12",sim,TT-0023;VG-0015
IB-0002,Amortecedor dianteiro,Suspensão,Ibirapuera,Dianteira direita,"441,16",sim,AN-0003
AN-0001,Amortecedor traseiro,Suspensão,Anhembi,Traseira,"359,80",sim,JG-0005;TT-0025
VG-0001,Mola helicoidal dianteira,Suspensão,Vergueiro,Dianteira,"466,68",sim,IB-0027;JG-0006
AN-0002,Pivô de suspensão,Suspensão,Anhembi,Dianteira esquerda,"307,71",sim,AN-0019;PJ-0035
VG-0002,Bieleta da barra estabilizadora,Suspensão,Vergueiro,Dianteira direita,"128,05",sim,TT-0028;TT-0006
IB-0003,Amortecedor traseiro,Suspensão,Ibirapuera,Traseira,"429,05",sim,JG-0007;TT-0021
JG-0001,Bandeja de suspensão dianteira,Suspensão,Jaraguá,Dianteira direita,"267,90",sim,VG-0021
TT-0001,Coxim do amortecedor dianteiro,Suspensão,Tietê,Dianteira,"472,26",sim,AN-0015;AN-0011
AN-0003,Amortecedor dianteiro,Suspensão,Anhembi,Dianteira direita,"222,56",não,PJ-0025;PJ-0016
AN-0004,Mola helicoidal dianteira,Suspensão,Anhembi,Dianteira,"416,24",sim,IB-0020
JG-0002,Coxim do amortecedor dianteiro,Suspensão,Jaraguá,Dianteira,"303,20",sim,PJ-0011
PJ-0001,Amortecedor dianteiro,Suspensão,Pirajuçara,Dianteira direita,"389,00",sim,AN-0039;AN-0017
AN-0005,Amortecedor traseiro,Suspensão,Anhembi,Traseira,"452,53",sim,IB-0012
PJ-0002,Bieleta da barra estabilizadora,Suspensão,Pirajuçara,Dianteira direita,"213,41",sim,TT-0011
AN-0006,Pivô de suspensão,Suspensão,Anhembi,Dianteira direita,"424,09",sim,PJ-0015;TT-0023
VG-0003,Bandeja de suspensão dianteira,Suspensão,Vergueiro,Dianteira direita,"372,72",sim,IB-0021;AN-0018
JG-0003,Mola helicoidal dianteira,Suspensão,Jaraguá,Dianteira,"375,88",sim,JG-0006
VG-0004,Amortecedor traseiro,Suspensão,Vergueiro,Traseira,"295,57",sim,IB-0003;IB-0009
IB-0004,Amortecedor dianteiro,Suspensão,Ibirapuera,Dianteira esquerda,"277,63",sim,TT-0008;TT-0015
TT-0002,Coxim do amortecedor dianteiro,Suspensão,Tietê,Dianteira,"177,50",sim,JG-0002;AN-0024
IB-0005,Amortecedor traseiro,Suspensão,Ibirapuera,Traseira,"451,67",sim,TT-0021;VG-0012
VG-0005,Coxim do amortecedor dianteiro,Suspensão,Vergueiro,Dianteira,"453,75",sim,PJ-0029;JG-0002
AN-0007,Pivô de suspensão,Suspensão,Anhembi,Dianteira esquerda,"475,86",não,TT-0019
JG-0004,Mola helicoidal dianteira,Suspensão,Jaraguá,Dianteira,"362,70",sim,AN-0010
PJ-0003,Bandeja de suspensão dianteira,Suspensão,Pirajuçara,Dianteira direita,"379,45",sim,TT-0024;IB-0022
TT-0003,Pivô de suspensão,Suspensão,Tietê,Dianteira esquerda,"437,22",sim,TT-0010;PJ-0035
IB-0006,Bandeja de suspensão dianteira,Suspensão,Ibirapuera,Dianteira direita,"276,29",sim,PJ-0003
AN-0008,Coxim do amortecedor dianteiro,Suspensão,Anhembi,Dianteira,"190,21",sim,VG-0005
IB-0007,Amortecedor dianteiro,Suspensão,Ibirapuera,Dianteira esquerda,"354,82",não,AN-0009;TT-0020
VG-0006,Mola helicoidal dianteira,Suspensão,Vergueiro,Dianteira,"397,94",sim,JG-0004
PJ-0004,Amortecedor traseiro,Suspensão,Pirajuçara,Traseira,"211,91",sim,TT-0013;AN-0014
TT-0004,Coxim do amortecedor dianteiro,Suspensão,Tietê,Dianteira,"446,45",sim,AN-0008;PJ-0032
VG-0007,Amortecedor traseiro,Suspensão,Vergueiro,Traseira,"132,49",sim,TT-0016;AN-0001
AN-0009,Amortecedor dianteiro,Suspensão,Anhembi,Dianteira esquerda,"309,50",sim,IB-0008;TT-0020
PJ-0005,Bandeja de suspensão dianteira,Suspensão,Pirajuçara,Dianteira direita,"239,05",sim,JG-0001
PJ-0006,Pivô de suspensão,Suspensão,Pirajuçara,Dianteira esquerda,"417,39",sim,AN-0007
PJ-0007,Mola helicoidal dianteira,Suspensão,Pirajuçara,Dianteira,"307,53",sim,VG-0006;PJ-0018
AN-0010,Mola helicoidal dianteira,Suspensão,Anhembi,Dianteira,"295,34",sim,IB-0019;PJ-0033
IB-0008,Amortecedor dianteiro,Suspensão,Ibirapuera,Dianteira esquerda,"267,17",sim,TT-0020;IB-0010
IB-0009,Amortecedor traseiro,Suspensão,Ibirapuera,Traseira,"273,16",não,IB-0014
VG-0008,Pivô de suspensão,Suspensão,Vergueiro,Dianteira esquerda,"172,71",sim,VG-0025
PJ-0008,Bieleta da barra estabilizadora,Suspensão,Pirajuçara,Dianteira esquerda,"181,07",sim,IB-0017;TT-0022
TT-0005,Bandeja de suspensão dianteira,Suspensão,Tietê,Dianteira esquerda,"278,11",sim,TT-0012
AN-0011,Coxim do amortecedor dianteiro,Suspensão,Anhembi,Dianteira,"370,21",sim,AN-0022
PJ-0009,Coxim do amortecedor dianteiro,Suspensão,Pirajuçara,Dianteira,"262,10",sim,TT-0004;VG-0018
IB-0010,Amortecedor dianteiro,Suspensão,Ibirapuera,Dianteira esquerda,"470,78",sim,VG-0023;IB-0008
PJ-0010,Pivô de suspensão,Suspensão,Pirajuçara,Dianteira esquerda,"392,01",sim,VG-0008
TT-0006,Bieleta da barra estabilizadora,Suspensão,Tietê,Dianteira direita,"176,55",sim,VG-0022
AN-0012,Bieleta da barra estabilizadora,Suspensão,Anhembi,Dianteira direita,"437,57",não,VG-0022;VG-0002
AN-0013,Mola helicoidal dianteira,Suspensão,Anhembi,Dianteira,"266,62",sim,IB-0020
VG-0009,Amortecedor dianteiro,Suspensão,Vergueiro,Dianteira direita,"251,70",não,IB-0002
JG-0005,Amortecedor traseiro,Suspensão,Jaraguá,Traseira,"286,27",sim,JG-0022
PJ-0011,Coxim do amortecedor dianteiro,Suspensão,Pirajuçara,Dianteira,"174,40",sim,VG-0024;PJ-0017
VG-0010,Bandeja de suspensão dianteira,Suspensão,Vergueiro,Dianteira direita,"475,65",sim,IB-0026;PJ-0005
AN-0014,Amortecedor traseiro,Suspensão,Anhembi,Traseira,"467,12",sim,TT-0021;IB-0005
AN-0015,Coxim do amortecedor dianteiro,Suspensão,Anhembi,Dianteira,"172,45",sim,PJ-0014
PJ-0012,Bandeja de suspensão dianteira,Suspensão,Pirajuçara,Dianteira direita,"263,68",sim,VG-0021
TT-0007,Bieleta da barra estabilizadora,Suspensão,Tietê,Dianteira direita,"402,33",sim,VG-0002
AN-0016,Mola helicoidal dianteira,Suspensão,Anhembi,Dianteira,"189,37",sim,JG-0006;VG-0006
VG-0011,Coxim do amortecedor dianteiro,Suspensão,Vergueiro,Dianteira,"456,38",sim,TT-0001;PJ-0009
PJ-0013,Amortecedor traseiro,Suspensão,Pirajuçara,Traseira,"197,20",sim,TT-0021
TT-0008,Amortecedor dianteiro,Suspensão,Tietê,Dianteira esquerda,"172,46",sim,AN-0029
IB-0011,Bieleta da barra estabilizadora,Suspensão,Ibirapuera,Dianteira esquerda,"262,45",sim,JG-0020;JG-0019
AN-0017,Amortecedor dianteiro,Suspensão,Anhembi,Dianteira direita,"373,16",não,AN-0003
AN-0018,Bandeja de suspensão dianteira,Suspensão,Anhembi,Dianteira direita,"348,92",sim,VG-0010;IB-0006
VG-0012,Amortecedor traseiro,Suspensão,Vergueiro,Traseira,"311,85",sim,AN-0001;TT-0026
PJ-0014,Coxim do amortecedor dianteiro,Suspensão,Pirajuçara,Dianteira,"227,69",sim,JG-0009;PJ-0032
PJ-0015,Pivô de suspensão,Suspensão,Pirajuçara,Dianteira direita,"274,72",sim,AN-0034;AN-0006
JG-0006,Mola helicoidal dianteira,Suspensão,Jaraguá,Dianteira,"449,27",sim,PJ-0033
JG-0007,Amortecedor traseiro,Suspensão,Jaraguá,Traseira,"151,35",não,JG-0005;PJ-0023
TT-0009,Bieleta da barra estabilizadora,Suspensão,Tietê,Dianteira direita,"164,99",sim,AN-0027;IB-0015
JG-0008,Mola helicoidal dianteira,Suspensão,Jaraguá,Dianteira,"131,08",sim,PJ-0018;PJ-0024
JG-0009,Coxim do amortecedor dianteiro,Suspensão,Jaraguá,Dianteira,"325,75",sim,IB-0018
TT-0010,Pivô de suspensão,Suspensão,Tietê,Dianteira esquerda,"273,60",sim,IB-0025
IB-0012,Amortecedor traseiro,Suspensão,Ibirapuera,Traseira,"187,01",sim,JG-0018
VG-0013,Bieleta da barra estabilizadora,Suspensão,Vergueiro,Dianteira direita,"450,48",sim,AN-0027
JG-0010,Amortecedor dianteiro,Suspensão,Jaraguá,Dianteira direita,"145,69",não,AN-0039;PJ-0031
IB-0013,Mola helicoidal dianteira,Suspensão,Ibirapuera,Dianteira,"448,54",sim,PJ-0007
AN-0019,Pivô de suspensão,Suspensão,Anhembi,Dianteira esquerda,"162,73",sim,AN-0007
VG-0014,Bandeja de suspensão dianteira,Suspensão,Vergueiro,Dianteira esquerda,"308,32",sim,PJ-0028
JG-0011,Bandeja de suspensão dianteira,Suspensão,Jaraguá,Dianteira esquerda,"416,51",sim,JG-0017
JG-0012,Mola helicoidal dianteira,Suspensão,Jaraguá,Dianteira,"254,82",sim,IB-0019
TT-0011,Bieleta da barra estabilizadora,Suspensão,Tietê,Dianteira direita,"396,27",sim,PJ-0034;VG-0013
IB-0014,Amortecedor traseiro,Suspensão,Ibirapuera,Traseira,"325,71",sim,TT-0013;IB-0028
TT-0012,Bandeja de suspensão dianteira,Suspensão,Tietê,Dianteira esquerda,"166,77",sim,AN-0032
AN-0020,Mola helicoidal dianteira,Suspensão,Anhembi,Dianteira,"198,50",sim,IB-0019
AN-0021,Bieleta da barra estabilizadora,Suspensão,Anhembi,Dianteira direita,"338,28",sim,VG-0022;TT-0006
VG-0015,Pivô de suspensão,Suspensão,Vergueiro,Dianteira direita,"467,84",não,TT-0018
TT-0013,Amortecedor traseiro,Suspensão,Tietê,Traseira,"325,05",sim,PJ-0023;VG-0016
PJ-0016,Amortecedor dianteiro,Suspensão,Pirajuçara,Dianteira direita,"301,10",sim,JG-0010
AN-0022,Coxim do amortecedor dianteiro,Suspensão,Anhembi,Dianteira,"406,41",não,PJ-0032
IB-0015,Bieleta da barra estabilizadora,Suspensão,Ibirapuera,Dianteira direita,"329,67",sim,TT-0009
TT-0014,Bandeja de suspensão dianteira,Suspensão,Tietê,Dianteira direita,"428,82",sim,JG-0001
AN-0023,Amortecedor traseiro,Suspensão,Anhembi,Traseira,"145,48",sim,TT-0013;AN-0037
JG-0013,Bieleta da barra estabilizadora,Suspensão,Jaraguá,Dianteira direita,"353,11",sim,TT-0028
VG-0016,Amortecedor traseiro,Suspensão,Vergueiro,Traseira,"136,21",sim,PJ-0020;VG-0007
AN-0024,Coxim do amortecedor dianteiro,Suspensão,Anhembi,Dianteira,"175,95",não,TT-0002;JG-0009
AN-0025,Mola helicoidal dianteira,Suspensão,Anhembi,Dianteira,"429,90",não,IB-0020;AN-0016
TT-0015,Amortecedor dianteiro,Suspensão,Tietê,Dianteira esquerda,"306,56",não,AN-0029
IB-0016,Bandeja de suspensão dianteira,Suspensão,Ibirapuera,Dianteira esquerda,"230,02",sim,TT-0005
JG-0014,Pivô de suspensão,Suspensão,Jaraguá,Dianteira esquerda,"326,21",sim,PJ-0010
JG-0015,Bandeja de suspensão dianteira,Suspensão,Jaraguá,Dianteira direita,"245,31",sim,IB-0026
AN-0026,Pivô de suspensão,Suspensão,Anhembi,Dianteira direita,"226,99",sim,TT-0023
AN-0027,Bieleta da barra estabilizadora,Suspensão,Anhembi,Dianteira direita,"377,89",sim,TT-0007;AN-0021
PJ-0017,Coxim do amortecedor dianteiro,Suspensão,Pirajuçara,Dianteira,"432,09",sim,VG-0020
PJ-0018,Mola helicoidal dianteira,Suspensão,Pirajuçara,Dianteira,"338,34",sim,AN-0025;AN-0010
IB-0017,Bieleta da barra estabilizadora,Suspensão,Ibirapuera,Dianteira esquerda,"399,08",sim,IB-0024;IB-0011
AN-0028,Coxim do amortecedor dianteiro,Suspensão,Anhembi,Dianteira,"418,97",sim,VG-0017
PJ-0019,Pivô de suspensão,Suspensão,Pirajuçara,Dianteira direita,"147,78",sim,AN-0006
TT-0016,Amortecedor traseiro,Suspensão,Tietê,Traseira,"340,20",sim,IB-0028
TT-0017,Mola helicoidal dianteira,Suspensão,Tietê,Dianteira,"456,72",sim,JG-0008
JG-0016,Amortecedor dianteiro,Suspensão,Jaraguá,Dianteira direita,"402,52",não,PJ-0025
PJ-0020,Amortecedor traseiro,Suspensão,Pirajuçara,Traseira,"218,80",sim,AN-0014
AN-0029,Amortecedor dianteiro,Suspensão,Anhembi,Dianteira esquerda,"185,52",sim,AN-0035
PJ-0021,Bieleta da barra estabilizadora,Suspensão,Pirajuçara,Dianteira esquerda,"165,90",sim,IB-0024;IB-0017
JG-0017,Bandeja de suspensão dianteira,Suspensão,Jaraguá,Dianteira esquerda,"363,83",sim,IB-0016;AN-0038
IB-0018,Coxim do amortecedor dianteiro,Suspensão,Ibirapuera,Dianteira,"264,86",sim,VG-0011;PJ-0029
IB-0019,Mola helicoidal dianteira,Suspensão,Ibirapuera,Dianteira,"318,46",sim,AN-0025
TT-0018,Pivô de suspensão,Suspensão,Tietê,Dianteira direita,"417,76",não,PJ-0019
JG-0018,Amortecedor traseiro,Suspensão,Jaraguá,Traseira,"375,74",sim,VG-0016
VG-0017,Coxim do amortecedor dianteiro,Suspensão,Vergueiro,Dianteira,"402,00",sim,PJ-0022
IB-0020,Mola helicoidal dianteira,Suspensão,Ibirapuera,Dianteira,"221,33",sim,TT-0017
AN-0030,Bandeja de suspensão dianteira,Suspensão,Anhembi,Dianteira direita,"458,57",sim,IB-0026;VG-0021
TT-0019,Pivô de suspensão,Suspensão,Tietê,Dianteira esquerda,"288,58",sim,PJ-0006
TT-0020,Amortecedor dianteiro,Suspensão,Tietê,Dianteira esquerda,"183,05",sim,AN-0029;IB-0010
PJ-0022,Coxim do amortecedor dianteiro,Suspensão,Pirajuçara,Dianteira,"313,52",sim,VG-0005;AN-0008
JG-0019,Bieleta da barra estabilizadora,Suspensão,Jaraguá,Dianteira esquerda,"467,59",sim,PJ-0008;JG-0020
IB-0021,Bandeja de suspensão dianteira,Suspensão,Ibirapuera,Dianteira direita,"186,41",sim,JG-0015
AN-0031,Pivô de suspensão,Suspensão,Anhembi,Dianteira esquerda,"134,73",sim,VG-0025
PJ-0023,Amortecedor traseiro,Suspensão,Pirajuçara,Traseira,"223,13",sim,PJ-0004
VG-0018,Coxim do amortecedor dianteiro,Suspensão,Vergueiro,Dianteira,"412,41",sim,AN-0008;VG-0011
IB-0022,Bandeja de suspensão dianteira,Suspensão,Ibirapuera,Dianteira direita,"351,64",sim,JG-0015;VG-0021
PJ-0024,Mola helicoidal dianteira,Suspensão,Pirajuçara,Dianteira,"157,16",sim,JG-0008;JG-0021
PJ-0025,Amortecedor dianteiro,Suspensão,Pirajuçara,Dianteira direita,"246,17",sim,PJ-0031;AN-0017
JG-0020,Bieleta da barra estabilizadora,Suspensão,Jaraguá,Dianteira esquerda,"159,17",sim,IB-0011;PJ-0008
TT-0021,Amortecedor traseiro,Suspensão,Tietê,Traseira,"407,73",sim,TT-0025
IB-0023,Coxim do amortecedor dianteiro,Suspensão,Ibirapuera,Dianteira,"171,26",sim,AN-0008;AN-0022
AN-0032,Bandeja de suspensão dianteira,Suspensão,Anhembi,Dianteira esquerda,"467,19",sim,IB-0016
PJ-0026,Mola helicoidal dianteira,Suspensão,Pirajuçara,Dianteira,"318,68",sim,JG-0006
PJ-0027,Amortecedor dianteiro,Suspensão,Pirajuçara,Dianteira direita,"397,28",sim,VG-0009
TT-0022,Bieleta da barra estabilizadora,Suspensão,Tietê,Dianteira esquerda,"357,88",sim,PJ-0021;IB-0011
VG-0019,Mola helicoidal dianteira,Suspensão,Vergueiro,Dianteira,"232,62",sim,JG-0004;AN-0004
TT-0023,Pivô de suspensão,Suspensão,Tietê,Dianteira direita,"150,50",sim,AN-0026;VG-0015
